departure_airport,arrival_airport
Emerald Airport,Brisbane International Airport
Gladstone Airport,Rockhampton Airport
Horn Island Airport,Cairns International Airport
Longreach Airport,Brisbane International Airport
Launceston Airport,Melbourne International Airport
Melbourne International Airport,Devonport Airport
Mackay Airport,Rockhampton Airport
Moranbah Airport,Brisbane International Airport
Roma Airport,Brisbane International Airport
Rockhampton Airport,Gladstone Airport
Rockhampton Airport,Mackay Airport
Townsville Airport,Mackay Airport
Aberdeen Dyce Airport,Bergen Airport Flesland
Bergen Airport Flesland,Aberdeen Dyce Airport
Bergen Airport Flesland,Haugesund Airport
Bergen Airport Flesland,Kristiansand Airport
Bergen Airport Flesland,Kristiansund Airport (Kvernberget)
Bergen Airport Flesland,Sandefjord Airport
Haugesund Airport,Bergen Airport Flesland
Kristiansand Airport,Bergen Airport Flesland
Kristiansand Airport,Trondheim Airport
Stavanger Airport Sola,Sandefjord Airport
Trondheim Airport,Kristiansand Airport
Sandefjord Airport,Bergen Airport Flesland
Sandefjord Airport,Stavanger Airport Sola
Washington Dulles International Airport,Newark Liberty International Airport
Kirkenes Airport,Tromso Airport
Tromso Airport,Kirkenes Airport
Albany International Airport,Washington Dulles International Airport
Washington Dulles International Airport,Albany International Airport
Quebec Jean Lesage International Airport,Montreal / Pierre Elliott Trudeau International Airport
Montreal / Pierre Elliott Trudeau International Airport,Fredericton Airport
Linz Horsching Airport,Vienna International Airport
Burlington International Airport,Washington Dulles International Airport
Edmonton International Airport,Calgary International Airport
Calgary International Airport,Fort McMurray Airport
Greater Moncton International Airport,Lester B. Pearson International Airport
Lester B. Pearson International Airport,Greater Moncton International Airport
Lester B. Pearson International Airport,Thunder Bay Airport
Denver International Airport,Montrose Regional Airport
Munich Airport,Split Airport
Split Airport,Munich Airport
Murtala Muhammed International Airport,Mallam Aminu International Airport
Buffalo Niagara International Airport,Washington Dulles International Airport
Washington Dulles International Airport,Theodore Francis Green State Airport
Theodore Francis Green State Airport,Washington Dulles International Airport
Boise Air Terminal/Gowen Field,Portland International Airport
Portland International Airport,Boise Air Terminal/Gowen Field
Cape Town International Airport,Ben Schoeman Airport
Ben Schoeman Airport,Cape Town International Airport
Bram Fischer International Airport,OR Tambo International Airport
OR Tambo International Airport,Bram Fischer International Airport
OR Tambo International Airport,Kimberley Airport
Kimberley Airport,OR Tambo International Airport
Sir Seretse Khama International Airport,OR Tambo International Airport
OR Tambo International Airport,Sir Seretse Khama International Airport
Birmingham International Airport,Brussels Airport
Tiksi Airport,Yakutsk Airport
Yakutsk Airport,Tiksi Airport
Calgary International Airport,Edmonton International Airport
Prince George Airport,Vancouver International Airport
Calgary International Airport,Regina International Airport
Kansas City International Airport,Denver International Airport
Westerland Sylt Airport,Stuttgart Airport
Stuttgart Airport,Westerland Sylt Airport
Domodedovo International Airport,Riga International Airport
Oslo Lufthavn,Riga International Airport
Riga International Airport,Helsinki Vantaa Airport
Riga International Airport,Oslo Lufthavn
Riga International Airport,Vilnius International Airport
Copenhagen Kastrup Airport,Riga International Airport
Riga International Airport,Copenhagen Kastrup Airport
Minsk National Airport,Riga International Airport
Riga International Airport,Minsk National Airport
Riga International Airport,Lennart Meri Tallinn Airport
Portland International Airport,San Francisco International Airport
Port Moresby Jacksons International Airport,Honiara International Airport
Riga International Airport,Stockholm-Arlanda Airport
Hamburg Airport,Riga International Airport
Riga International Airport,Hamburg Airport
Riga International Airport,Berlin-Tegel Airport
Berlin-Tegel Airport,Riga International Airport
Budapest Liszt Ferenc International Airport,Riga International Airport
Riga International Airport,Budapest Liszt Ferenc International Airport
Brisbane International Airport,Gladstone Airport
Gladstone Airport,Brisbane International Airport
Split Airport,Vienna International Airport
Vienna International Airport,Split Airport
Zagreb Airport,Split Airport
Eleftherios Venizelos International Airport,Ioannis Kapodistrias International Airport
Ioannis Kapodistrias International Airport,Eleftherios Venizelos International Airport
Dresden Airport,Dusseldorf Airport
Dusseldorf Airport,Dresden Airport
Krakow John Paul II International Airport,Berlin-Tegel Airport
Dusseldorf Airport,Westerland Sylt Airport
Westerland Sylt Airport,Dusseldorf Airport
Zagreb Airport,Dubrovnik Airport
Eleftherios Venizelos International Airport,Chios Island National Airport
Chios Island National Airport,Eleftherios Venizelos International Airport
Nuremberg Airport,Berlin-Tegel Airport
Berlin-Tegel Airport,Warsaw Chopin Airport
Eleftherios Venizelos International Airport,Dubrovnik Airport
Dubrovnik Airport,Eleftherios Venizelos International Airport
Budapest Liszt Ferenc International Airport,Vienna International Airport
Vienna International Airport,Budapest Liszt Ferenc International Airport
Vienna International Airport,Kosice Airport
Salzburg Airport,Vienna International Airport
Vienna International Airport,Salzburg Airport
Madang Airport,Port Moresby Jacksons International Airport
Port Moresby Jacksons International Airport,Kavieng Airport
Basco Airport,Ninoy Aquino International Airport
Catarman National Airport,Ninoy Aquino International Airport
Ninoy Aquino International Airport,Basco Airport
Ninoy Aquino International Airport,Catarman National Airport
Ninoy Aquino International Airport,Surigao Airport
Ninoy Aquino International Airport,Tuguegarao Airport
Surigao Airport,Ninoy Aquino International Airport
Tuguegarao Airport,Ninoy Aquino International Airport
Karpathos Airport,Eleftherios Venizelos International Airport
Eleftherios Venizelos International Airport,Karpathos Airport
Eleftherios Venizelos International Airport,Belgrade Nikola Tesla Airport
Eleftherios Venizelos International Airport,Kefallinia Airport
Eleftherios Venizelos International Airport,Ioannina Airport
Eleftherios Venizelos International Airport,Ikaria Airport
Eleftherios Venizelos International Airport,Skiathos Island National Airport
Eleftherios Venizelos International Airport,Kithira Airport
Eleftherios Venizelos International Airport,Alexander the Great International Airport
Eleftherios Venizelos International Airport,Limnos Airport
Eleftherios Venizelos International Airport,Skiros Airport
Eleftherios Venizelos International Airport,Samos Airport
Eleftherios Venizelos International Airport,Tirana International Airport Mother Teresa
Eleftherios Venizelos International Airport,Zakynthos International Airport 'Dionysios Solomos'
Belgrade Nikola Tesla Airport,Eleftherios Venizelos International Airport
Kefallinia Airport,Eleftherios Venizelos International Airport
Ioannina Airport,Eleftherios Venizelos International Airport
Ikaria Airport,Eleftherios Venizelos International Airport
Skiathos Island National Airport,Eleftherios Venizelos International Airport
Kithira Airport,Eleftherios Venizelos International Airport
Alexander the Great International Airport,Eleftherios Venizelos International Airport
Limnos Airport,Eleftherios Venizelos International Airport
Skiros Airport,Eleftherios Venizelos International Airport
Samos Airport,Eleftherios Venizelos International Airport
Tirana International Airport Mother Teresa,Eleftherios Venizelos International Airport
Zakynthos International Airport 'Dionysios Solomos',Eleftherios Venizelos International Airport
Los Angeles International Airport,Rogue Valley International Medford Airport
Los Angeles International Airport,Mammoth Yosemite Airport
Los Angeles International Airport,Charles M. Schulz Sonoma County Airport
Rogue Valley International Medford Airport,Los Angeles International Airport
Mammoth Yosemite Airport,Los Angeles International Airport
Metropolitan Oakland International Airport,Portland International Airport
Portland International Airport,Metropolitan Oakland International Airport
Portland International Airport,Vancouver International Airport
San Diego International Airport,Charles M. Schulz Sonoma County Airport
Seattle Tacoma International Airport,Vancouver International Airport
Charles M. Schulz Sonoma County Airport,Los Angeles International Airport
Charles M. Schulz Sonoma County Airport,San Diego International Airport
Vancouver International Airport,Portland International Airport
Vancouver International Airport,Seattle Tacoma International Airport
Dusseldorf Airport,Peretola Airport
Dusseldorf Airport,Guernsey Airport
Dusseldorf Airport,Nuremberg Airport
Dusseldorf Airport,Riga International Airport
Dusseldorf Airport,London Stansted Airport
Dusseldorf Airport,Stuttgart Airport
Dusseldorf Airport,Salzburg Airport
Peretola Airport,Dusseldorf Airport
Peretola Airport,Stuttgart Airport
Frankfurt am Main Airport,Guernsey Airport
Guernsey Airport,Dusseldorf Airport
Guernsey Airport,Jersey Airport
Gdansk Lech Walesa Airport,Berlin-Tegel Airport
Westerland Sylt Airport,Berlin-Tegel Airport
Hannover Airport,Jersey Airport
Hannover Airport,Stuttgart Airport
Hamburg Airport,Nuremberg Airport
Jersey Airport,Frankfurt am Main Airport
Jersey Airport,Hannover Airport
Jersey Airport,Stuttgart Airport
Khrabrovo Airport,Berlin-Tegel Airport
Nuremberg Airport,Dusseldorf Airport
Nuremberg Airport,Hamburg Airport
Nuremberg Airport,Split Airport
Nuremberg Airport,Vienna International Airport
Riga International Airport,Dusseldorf Airport
Split Airport,Nuremberg Airport
London Stansted Airport,Dusseldorf Airport
Stuttgart Airport,Dusseldorf Airport
Stuttgart Airport,Peretola Airport
Stuttgart Airport,Hannover Airport
Stuttgart Airport,Jersey Airport
Salzburg Airport,Dusseldorf Airport
Berlin-Tegel Airport,Gdansk Lech Walesa Airport
Berlin-Tegel Airport,Westerland Sylt Airport
Berlin-Tegel Airport,Khrabrovo Airport
Vienna International Airport,Nuremberg Airport
Fredericton Airport,Lester B. Pearson International Airport
Quebec Jean Lesage International Airport,Lester B. Pearson International Airport
Greater Moncton International Airport,Montreal / Pierre Elliott Trudeau International Airport
Regina International Airport,Calgary International Airport
Saint John Airport,Lester B. Pearson International Airport
Billy Bishop Toronto City Centre Airport,Montreal / Pierre Elliott Trudeau International Airport
Montreal / Pierre Elliott Trudeau International Airport,Greater Moncton International Airport
Montreal / Pierre Elliott Trudeau International Airport,Billy Bishop Toronto City Centre Airport
Montreal / Pierre Elliott Trudeau International Airport,Charlottetown Airport
Vancouver International Airport,Fort St John Airport
Vancouver International Airport,Prince George Airport
Saskatoon John G. Diefenbaker International Airport,Calgary International Airport
Fort St John Airport,Vancouver International Airport
Calgary International Airport,Saskatoon John G. Diefenbaker International Airport
Calgary International Airport,Victoria International Airport
Charlottetown Airport,Montreal / Pierre Elliott Trudeau International Airport
Victoria International Airport,Calgary International Airport
Lester B. Pearson International Airport,Fredericton Airport
Lester B. Pearson International Airport,Quebec Jean Lesage International Airport
Lester B. Pearson International Airport,Saint John Airport
Brest Bretagne Airport,Southampton Airport
Charles de Gaulle International Airport,Exeter International Airport
Bergerac-Roumaniere Airport,Exeter International Airport
Bergerac-Roumaniere Airport,Southampton Airport
Exeter International Airport,Charles de Gaulle International Airport
Exeter International Airport,Bergerac-Roumaniere Airport
Exeter International Airport,Rennes-Saint-Jacques Airport
Limoges Airport,Southampton Airport
La Rochelle-Ile de Re Airport,Southampton Airport
Nantes Atlantique Airport,Southampton Airport
Paris-Orly Airport,Southampton Airport
Rennes-Saint-Jacques Airport,Exeter International Airport
Rennes-Saint-Jacques Airport,Southampton Airport
Southampton Airport,Brest Bretagne Airport
Southampton Airport,Bergerac-Roumaniere Airport
Southampton Airport,Limoges Airport
